,ad_num,company,model,price,engine,year,hand,km,eng_kind,test,current_owner,prev_owner,צבע,gearbox,trader,area,sub_area,price_list,price_list_url
2548,56919923,רנו, קליאו דור 5 (2019 ואילך),86000,1332.0,2020,1,25500,7,10/2023,0,1,כתום,0,0,41,קרית גת,,https://www.yad2.co.il/price-list/sub-model/33496/2020
2549,73029131,ב.מ.וו, סדרה 5,335000,1998.0,2020,1,50000,3,09/2024,0,1,לבן,0,0,41,אשדוד,,https://www.yad2.co.il/price-list/sub-model/29870/2020
2550,63451080,פיאט, 500,30000,1242.0,2015,2,60000,7,07/2023,0,0,תכלת,3,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/26957/2015
2551,76810968,יונדאי, i10,19500,1086.0,2012,3,185000,7,11/2023,0,0,כחול,0,0,41,יבנה,,https://www.yad2.co.il/price-list/sub-model/24772/2012
2552,53486913,קיה, פיקנטו,46000,1248.0,2017,2,135000,7,01/2024,0,0,בז',0,0,41,אשדוד,,https://www.yad2.co.il/price-list/sub-model/28867/2017
2553,67621775,יונדאי, סונטה הייבריד,65000,1999.0,2017,2,188000,7,02/2024,0,3,שחור,0,0,41,אשדוד,,https://www.yad2.co.il/price-list/sub-model/27928/2017
2554,76616806,סקודה, סופרב (עד 2019),145000,1984.0,2018,3,97000,7,03/2024,0,0,אפור,0,0,41,קרית גת,,https://www.yad2.co.il/price-list/sub-model/27936/2018
2555,97881601,הונדה, ג'אז,63000,1318.0,2018,1,110000,7,02/2024,0,0,לבן,0,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/28141/2018
2556,97881601,הונדה, ג'אז,63000,1318.0,2018,1,110000,7,02/2024,0,,לבן,0,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/28141/2018
2557,43668809,טויוטה, ספייס ורסו,42000,1329.0,2015,2,134000,7,02/2024,0,2.0,לבן,0,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/26634/2015
2558,75782654,קרייזלר, גראנד וויאג'ר,54000,3604.0,2013,3,94000,7,11/2023,0,0.0,לבן,0,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/28749/2013
2559,94584529,אופל, מוקה,50000,1364.0,2016,1,126000,7,05/2023,0,0.0,חום,0,0,41,יבנה,,https://www.yad2.co.il/price-list/sub-model/28524/2016
2560,78144030,קיה, פיקנטו,70900,1248.0,2019,1,33000,7,02/2024,0,0.0,חום,0,0,41,מרכז שפירא,,https://www.yad2.co.il/price-list/sub-model/29903/2019
2561,81170742,פולקסווגן, פולו GTI,86900,1798.0,2017,1,158000,7,02/2024,0,0.0,לבן,1,0,41,עשרת,,https://www.yad2.co.il/price-list/sub-model/28089/2017
2562,99270268,טויוטה, C-HR,123000,1798.0,2019,1,75000,7,05/2024,0,0.0,אפור,0,0,41,נס ציונה,,https://www.yad2.co.il/price-list/sub-model/30597/2019
2563,68871858,מאזדה, 2,36900,1498.0,2012,3,99000,7,02/2024,0,0.0,אפור,0,0,41,גדרה,,https://www.yad2.co.il/price-list/sub-model/25288/2012
2564,75532991,יונדאי, i20,35000,1396.0,2012,1,121000,7,03/2024,0,0.0,אפור,0,0,41,נס ציונה,,https://www.yad2.co.il/price-list/sub-model/24288/2012
2565,93893505,סקודה, אוקטביה,84000,1498.0,2019,2,105000,7,02/2024,0,2.0,ברונזה,0,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/31998/2019
2566,71426257,מיצובישי, L200 האנטר 4X4,60000,2477.0,2013,2,105000,6,07/2023,0,1.0,לבן,0,0,41,רחובות,,https://www.yad2.co.il/price-list/sub-model/24695/2013
2567,74725725,קיה, פיקנטו,62500,1248.0,2018,1,66700,7,02/2024,0,1.0,אפור,0,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/29903/2018
2568,58515473,אופל, אדם,28500,1398.0,2014,3,66000,7,09/2023,0,0.0,שחור,1,0,41,אשדוד,,https://www.yad2.co.il/price-list/sub-model/27148/2014
2569,61397931,ב.מ.וו, X2,240000,1499.0,2021,1,44000,3,01/2024,0,0.0,אפור,0,0,41,אשדוד,,https://www.yad2.co.il/price-list/sub-model/34370/2021
2570,69681565,מרצדס, EQA,289000,,2022,1,36000,2,04/2025,0,0.0,לבן,0,0,41,גדרה,,https://www.yad2.co.il/price-list/sub-model/36340/2022
2571,94674420,טסלה, מודל 3,238000,,2023,1,3000,2,03/2024,0,0.0,שחור,0,0,41,באר טוביה,,https://www.yad2.co.il/price-list/sub-model/36347/2023
2572,81782031,קיה, ספורטז',70000,1591.0,2016,2,135000,7,06/2023,0,0.0,לבן,0,0,41,יבנה,,https://www.yad2.co.il/price-list/sub-model/27479/2016
2573,88588048,אינפיניטי, Q30,83000,1595.0,2017,2,100000,7,09/2023,0,0.0,לבן,0,0,41,קרית גת,,https://www.yad2.co.il/price-list/sub-model/30023/2017
2574,96609619,קיה, ספורטז',110000,1591,2018,2,60000,7,11/2023,0,0,,0,0,41,אשדוד,,https://www.yad2.co.il/price-list/sub-model/28558/2018
2575,66486276,יונדאי, H1,9600,2497,2007,3,176000,6,08/2023,0,0,כסוף,0,0,41,רחובות,,https://www.yad2.co.il/price-list/sub-model/24100/2007
2576,94461220,פיג'ו, 301,22900,1199,2015,3,108,7,12/2023,0,0,אפור,3,0,41,רחובות,,https://www.yad2.co.il/price-list/sub-model/27801/2015
2577,79548025,פיג'ו, 3008,105000,1598,2018,2,105000,7,01/2024,0,1,שחור,0,0,41,אשדוד,,https://www.yad2.co.il/price-list/sub-model/27799/2018
2578,71535195,מאזדה, CX-5,65000,1998,2013,3,178000,7,06/2023,0,0,שחור,0,0,41,קדרון,,https://www.yad2.co.il/price-list/sub-model/26109/2013
2579,83624760,מרצדס, C-Class קופה / קבריולט,445000,1991,2021,2,7000,7,07/2023,0,0,לבן,0,0,41,נס ציונה,,https://www.yad2.co.il/price-list/sub-model/36679/2021
2580,98594185,פורד, אדג' / EDGE,100000,3497,2016,3,109000,7,08/2023,0,1,אפור,0,0,41,שדרות,,https://www.yad2.co.il/price-list/sub-model/32081/2016
