,ad_num,company,model,price,engine,year,hand,km,eng_kind,test,current_owner,prev_owner,color,gearbox,trader,area,sub_area,price_list,price0705,enc_company,enc_model,price1605,sold,car_kind
203,76143111.0,יונדאי,טוסון,95950.0,1999.0,2017,2,48420,7,12/2023,0.0,0.0,2,0.0,0,2,רמת גן,99700.0,70000.0,1,1,-1.0,1,ג'יפים
207,82270221.0,ניסאן,אקס טרייל,111000.0,1598.0,2018,2,76000,6,10/2023,0.0,1.0,1,0.0,0,2,תל אביב יפו,111300.0,-1.0,5,8,-1.0,1,מיניוואנים
208,83289730.0,טויוטה,לנד קרוזר קצר,300000.0,2755.0,2020,1,47000,6,01/2024,0.0,1.0,6,0.0,0,2,מודיעין מכבים רעות,297900.0,295000.0,0,50,290000.0,0,ג'יפים
210,46163910.0,פורד,אקספלורר,129800.0,3497.0,2015,1,140000,7,12/2023,0.0,0.0,0,0.0,0,2,גבעת שמואל,129800.0,60000.0,11,28,90000.0,0,ג'יפים
211,68363636.0,טויוטה,RAV4 הייבריד,100000.0,2494.0,2017,1,190000,7,10/2023,0.0,0.0,0,0.0,0,2,ראשון לציון,130000.0,100000.0,0,18,-1.0,1,ג'יפים
213,68476914.0,יונדאי,טוסון,105000.0,1999.0,2017,1,120000,7,07/2023,0.0,0.0,0,0.0,0,2,תל אביב יפו,105600.0,96500.0,1,1,93000.0,0,ג'יפים
214,76764819.0,ניסאן,קשקאי,32000.0,1997.0,2011,2,220000,7,10/2023,0.0,0.0,1,0.0,0,2,חולון,35400.0,-1.0,5,3,-1.0,1,משפחתיים
216,48687939.0,מיצובישי,ASX,120000.0,1998.0,2021,1,21500,7,02/2024,0.0,9.0,1,0.0,0,2,רמת גן,117200.0,-1.0,4,77,-1.0,1,משפחתיים
217,74520680.0,אאודי,Q7,340000.0,2967.0,2019,1,53000,1,04/2024,0.0,9.0,1,0.0,0,2,תל אביב יפו,344500.0,94000.0,10,62,369000.0,0,ג'יפים
218,65139855.0,קיה,ספורטז',92000.0,1999.0,2017,1,116000,7,11/2023,0.0,9.0,1,0.0,0,2,באר יעקב,97600.0,90000.0,2,2,-1.0,1,משפחתיים
219,78919431.0,ב.מ.וו,X4,149000.0,1997.0,2015,4,82000,7,05/2024,0.0,0.0,0,0.0,0,2,יהוד מונוסון,149300.0,149000.0,9,175,149000.0,0,ג'יפים
220,49050561.0,הונדה,HR-V,110000.0,1498.0,2019,1,22300,7,04/2024,0.0,0.0,2,0.0,0,2,ראשון לציון,95200.0,84000.0,17,104,82000.0,0,ג'יפים
221,82252293.0,שברולט,טראקס,63000.0,1364.0,2017,2,78300,7,05/2023,0.0,0.0,1,0.0,0,2,ראש העין,59700.0,35900.0,8,100,59900.0,0,משפחתיים
222,67751092.0,לקסוס,RX450H,90000.0,3456.0,2011,5,275000,7,02/2024,0.0,0.0,2,0.0,0,2,באר יעקב,145800.0,83000.0,25,136,83000.0,0,ג'יפים
224,42288640.0,ניסאן,אקס טרייל,102000.0,1598.0,2017,2,95000,6,04/2024,0.0,0.0,2,0.0,0,2,חולון,103700.0,-1.0,5,8,-1.0,1,מיניוואנים
226,61841908.0,קיה,ספורטז',99500.0,1598.0,2019,2,62000,6,04/2024,0.0,0.0,1,0.0,0,2,רמת גן,102800.0,95000.0,2,2,-1.0,1,משפחתיים
227,61564600.0,סובארו,פורסטר,174500.0,2498.0,2021,1,40000,7,08/2023,0.0,0.0,1,0.0,0,2,בת ים,172400.0,137000.0,18,16,150000.0,0,ג'יפים
228,97973641.0,לנד רובר,דיסקברי ספורט,319000.0,1997.0,2022,1,12000,7,07/2024,0.0,0.0,0,0.0,0,2,מודיעין מכבים רעות,341300.0,-1.0,27,152,-1.0,1,ג'יפים
229,45101482.0,שברולט,טראוורס,89000.0,3564.0,2016,1,111666,7,10/2023,3.0,0.0,6,0.0,0,2,ראשון לציון,89300.0,324000.0,8,33,99900.0,0,מיניוואנים
230,82196495.0,שברולט,טראוורס,265000.0,3564.0,2022,2,8850,7,06/2024,0.0,9.0,0,0.0,0,2,ראשון לציון,247300.0,239000.0,8,33,265000.0,0,מיניוואנים
232,67573099.0,אאודי,Q3,99000.0,1395.0,2016,2,69400,7,03/2024,0.0,0.0,0,0.0,0,2,קרית אונו,95300.0,-1.0,10,21,-1.0,1,ג'יפים
233,62923783.0,קיה,ספורטז',72500.0,1591.0,2016,2,99400,7,10/2023,0.0,1.0,1,0.0,0,2,ראש העין,70600.0,-1.0,2,2,-1.0,1,משפחתיים
235,63283386.0,מיצובישי,אאוטלנדר,104000.0,1998.0,2017,2,102000,7,09/2023,0.0,0.0,0,0.0,0,2,פתח תקווה,105000.0,-1.0,4,0,-1.0,1,ג'יפים
236,48752023.0,יונדאי,טוסון,139550.0,1999.0,2020,1,57243,7,05/2023,0.0,0.0,0,0.0,0,2,גני תקווה,147200.0,139550.0,1,1,125000.0,0,ג'יפים
238,95430059.0,מיצובישי,אאוטלנדר,110000.0,1998.0,2017,1,101000,7,10/2023,0.0,0.0,1,0.0,0,2,מודיעין מכבים רעות,103800.0,105000.0,4,0,110000.0,0,ג'יפים
240,79103153.0,קאדילק,XT5,148000.0,3649.0,2017,1,104000,7,06/2023,0.0,0.0,0,0.0,0,2,פתח תקווה,156800.0,148000.0,31,84,169000.0,0,ג'יפים
242,56162970.0,פורד,קוגה,72500.0,1498.0,2016,1,38100,7,01/2024,0.0,0.0,2,0.0,0,2,שוהם,66200.0,-1.0,11,97,-1.0,1,ג'יפים
