,ad_num,company,model,price,engine,year,hand,km,eng_kind,test,current_owner,prev_owner,צבע,gearbox,trader,area,sub_area
191,91361484,ג'יפ,/,,1995.0,2021,1,35000,7,06/2024,0,0.0,אפור,0,0,2,תל אביב יפו
192,89462740,אאודי,Q3,185000.0,1498.0,2019,1,29000,7,09/2023,0,0.0,שחור,0,0,2,תל אביב יפו
193,43083282,סקודה,קודיאק,193850.0,1968.0,2020,1,45000,6,02/2024,0,0.0,אפור,0,0,2,ראשון לציון
194,54112516,לקסוס,UX,180000.0,1987.0,2021,1,49000,7,01/2024,0,0.0,שחור,0,0,2,ראש העין
195,43781326,מאזדה,CX-5,94000.0,1998.0,2016,2,86000,7,08/2023,0,0.0,שחור,0,0,2,יהוד מונוסון
196,68321457,סוזוקי,גרנד,51500.0,2393.0,2009,2,200000,7,11/2023,0,0.0,אפור,0,0,2,ראשון לציון
197,78102534,מרצדס,GLA,258000.0,1332.0,2021,1,24000,7,01/2024,0,0.0,שחור,0,0,2,פתח תקווה
198,78102534,מרצדס,GLA,258000.0,1332.0,2021,1,24000,7,01/2024,0,,שחור,0,0,2,פתח תקווה
199,99684897,יונדאי,טוסון,69000.0,1999.0,2016,3,163000,7,03/2024,0,1.0,שחור,0,0,2,תל אביב יפו
200,75503460,לקסוס,NX,175000.0,2494.0,2017,1,72500,7,08/2023,0,1.0,לבן,0,0,2,תל אביב יפו
201,69478712,מיצובישי,אאוטלנדר,139000.0,1998.0,2020,2,60000,7,02/2024,0,0.0,שחור,0,0,2,אלעד
202,79083725,יונדאי,טוסון,175000.0,1598.0,2022,1,4900,7,02/2024,0,0.0,לבן,0,0,2,תל אביב יפו
203,68009284,מיצובישי,אאוטלנדר,106000.0,1998.0,2018,3,130000,7,01/2024,3,0.0,לבן,0,0,2,ראש העין
204,62303494,אאודי,E-tron,428000.0,,2022,2,34000,2,01/2024,0,0.0,שחור,0,0,2,ראשון לציון
205,78623210,שברולט,טראוורס,190000.0,3564.0,2018,1,93000,7,01/2024,0,0.0,שחור,0,0,2,רמת גן
206,73153171,ג'יפ,/,380000.0,1995.0,2022,1,23000,7,07/2025,0,0.0,אפור,0,0,2,ראשון לציון
207,71108867,אינפיניטי,QX50,309000.0,1997.0,2022,1,18700,7,07/2023,0,0.0,אפור,0,0,2,מודיעין מכבים רעות
208,45419053,יונדאי,טוסון,,1591.0,2018,2,87000,7,10/2023,0,0.0,לבן,0,0,2,אור יהודה
209,45272468,סוזוקי,ויטרה,75000.0,1586.0,2016,1,63000,7,04/2024,0,0.0,אדום,0,0,2,תל אביב יפו
210,97255918,סקודה,קודיאק,175000.0,1498.0,2021,1,42000,7,02/2024,0,0.0,אדום,0,0,2,תל אביב יפו
211,94473592,אאודי,E-tron,350000.0,,2020,1,25000,2,12/2023,0,0.0,אפור,0,0,2,רמת גן
212,95998730,ג'יפ,/,,3604.0,2021,1,40000,7,05/2023,0,0.0,לבן,0,0,2,כפר קאסם
213,72797898,טויוטה,לנד,95000.0,2982.0,2005,2,435000,6,05/2023,0,0.0,חום,0,0,2,בן שמן
214,81597147,מיצובישי,אאוטלנדר,85000.0,1998.0,2015,1,167254,7,06/2023,0,0.0,לבן,0,0,2,ראשון לציון
215,43077932,פיג'ו,2008,112000.0,1199.0,2021,1,76000,7,06/2023,0,0.0,לבן,0,0,2,תל אביב יפו
216,61564600,סובארו,פורסטר,174500.0,2498.0,2021,1,40000,7,08/2023,0,,שחור,0,0,2,בת ים
